,code,decimal_point,name,pre_close,volunit,type,kind,market,type2,py
73,000074,2.0,消费等权,7264.65625,100.0,指数板块,指数,1,0,XFDQ
74,000075,2.0,医药等权,8548.78515625,100.0,指数板块,指数,1,0,YYDQ
75,000076,2.0,金融等权,5120.373046875,100.0,指数板块,指数,1,0,JRDQ
76,000077,2.0,信息等权,5491.94482421875,100.0,指数板块,指数,1,0,XXDQ
77,000078,2.0,电信等权,2770.947998046875,100.0,指数板块,指数,1,0,DXDQ
78,000079,2.0,公用等权,1864.9403076171875,100.0,指数板块,指数,1,0,GYDQ
79,000090,2.0,上证流通,1156.68896484375,100.0,指数板块,指数,1,0,SZLT
80,000091,2.0,沪财中小,8248.6064453125,100.0,指数板块,指数,1,0,HCZX
81,000092,2.0,资源50,2345.344970703125,100.0,指数板块,指数,1,0,ZY50
82,000093,2.0,180分层,9983.572265625,100.0,指数板块,指数,1,0,180FC
83,000094,2.0,上证上游,1906.6202392578125,100.0,指数板块,指数,1,0,SZSY
84,000095,2.0,上证中游,2777.062255859375,100.0,指数板块,指数,1,0,SZZY
85,000096,2.0,上证下游,4358.689453125,100.0,指数板块,指数,1,0,SZXY
86,000097,2.0,高端装备,6559.72412109375,100.0,指数板块,指数,1,0,GDZB
87,000098,2.0,上证F200,4405.14990234375,100.0,指数板块,指数,1,0,SZF200
88,000099,2.0,上证F300,6268.0986328125,100.0,指数板块,指数,1,0,SZF300
89,000100,2.0,上证F500,4848.375,100.0,指数板块,指数,1,0,SZF500
90,000101,2.0,5年信用,201.80140686035156,100.0,指数板块,指数,1,0,5NXY
91,000102,2.0,沪投资品,4055.15966796875,100.0,指数板块,指数,1,0,HTZP
92,000103,2.0,沪消费品,8504.810546875,100.0,指数板块,指数,1,0,HXFP
93,000104,2.0,380能源,999.1235961914062,100.0,指数板块,指数,1,0,380NY
94,000105,2.0,380材料,3674.005615234375,100.0,指数板块,指数,1,0,380CL
95,000106,2.0,380工业,4630.396484375,100.0,指数板块,指数,1,0,380GY
96,000107,2.0,380可选,4431.8408203125,100.0,指数板块,指数,1,0,380KX
97,000108,2.0,380消费,10047.3935546875,100.0,指数板块,指数,1,0,380XF
98,000109,2.0,380医药,11569.615234375,100.0,指数板块,指数,1,0,380YY
99,000110,2.0,380金融,3463.305419921875,100.0,指数板块,指数,1,0,380JR
100,000111,2.0,380信息,7780.03759765625,100.0,指数板块,指数,1,0,380XX
101,000112,2.0,380电信,6450.3603515625,100.0,指数板块,指数,1,0,380DX
102,000113,2.0,380公用,1939.1197509765625,100.0,指数板块,指数,1,0,380GY
103,000114,2.0,持续产业,1049.4930419921875,100.0,指数板块,指数,1,0,CXCY
104,000115,2.0,380等权,6423.8681640625,100.0,指数板块,指数,1,0,380DQ
105,000116,2.0,信用100,188.64599609375,100.0,指数板块,指数,1,0,XY100
106,000117,2.0,380成长,5228.11669921875,100.0,指数板块,指数,1,0,380CC
107,000118,2.0,380价值,6975.09228515625,100.0,指数板块,指数,1,0,380JZ
108,000119,2.0,380R成长,4224.77734375,100.0,指数板块,指数,1,0,380RCC
109,000120,2.0,380R价值,5886.60546875,100.0,指数板块,指数,1,0,380RJZ
110,000121,2.0,医药主题,10236.5556640625,100.0,指数板块,指数,1,0,YYZT
111,000122,2.0,农业主题,1319.2569580078125,100.0,指数板块,指数,1,0,NYZT
112,000123,2.0,180动态,7020.3134765625,100.0,指数板块,指数,1,0,180DT
113,000125,2.0,180稳定,10606.466796875,100.0,指数板块,指数,1,0,180WD
114,000126,2.0,消费50,7750.958984375,100.0,指数板块,指数,1,0,XF50
115,000128,2.0,380基本,5965.7822265625,100.0,指数板块,指数,1,0,380JB
116,000129,2.0,180波动,12156.05078125,100.0,指数板块,指数,1,0,180BD
117,000130,2.0,380波动,8790.08203125,100.0,指数板块,指数,1,0,380BD
118,000131,2.0,上证高新,2288.30712890625,100.0,指数板块,指数,1,0,SZGX
119,000132,2.0,上证100,5726.64892578125,100.0,指数板块,指数,1,0,SZ100
120,000133,2.0,上证150,4213.65673828125,100.0,指数板块,指数,1,0,SZ150
121,000134,2.0,上证银行,867.8511962890625,100.0,指数板块,指数,1,0,SZYX
122,000135,2.0,180高贝,6661.4638671875,100.0,指数板块,指数,1,0,180GB
123,000136,2.0,180低贝,8981.1171875,100.0,指数板块,指数,1,0,180DB
124,000137,2.0,380高贝,4548.14453125,100.0,指数板块,指数,1,0,380GB
125,000138,2.0,380低贝,5315.07666015625,100.0,指数板块,指数,1,0,380DB
126,000139,2.0,上证转债,325.1029968261719,100.0,指数板块,指数,1,0,SZZZ
127,000141,2.0,380动态,3403.431640625,100.0,指数板块,指数,1,0,380DT
128,000142,2.0,380稳定,6682.8203125,100.0,指数板块,指数,1,0,380WD
129,000145,2.0,优势资源,3154.0703125,100.0,指数板块,指数,1,0,YSZY
130,000146,2.0,优势制造,5757.5205078125,100.0,指数板块,指数,1,0,YSZZ
131,000147,2.0,优势消费,7006.64599609375,100.0,指数板块,指数,1,0,YSXF
132,000148,2.0,消费领先,8602.2421875,100.0,指数板块,指数,1,0,XFLX
133,000149,2.0,180红利,3455.212158203125,100.0,指数板块,指数,1,0,180HL
134,000150,2.0,380红利,8263.0673828125,100.0,指数板块,指数,1,0,380HL
135,000151,2.0,上国红利,1204.462158203125,100.0,指数板块,指数,1,0,SGHL
136,000152,2.0,上央红利,1879.287353515625,100.0,指数板块,指数,1,0,SYHL
137,000153,2.0,上民红利,2281.152587890625,100.0,指数板块,指数,1,0,SMHL
138,000155,2.0,市值百强,2972.628662109375,100.0,指数板块,指数,1,0,SZBQ
139,000158,2.0,上证环保,1258.314208984375,100.0,指数板块,指数,1,0,SZHB
140,000159,2.0,沪股通,3118.11083984375,100.0,指数板块,指数,1,0,HGT
141,000160,2.0,沪新丝路,1343.85009765625,100.0,指数板块,指数,1,0,HXSL
142,000161,2.0,沪中国造,1700.48974609375,100.0,指数板块,指数,1,0,HZGZ
143,000162,2.0,沪互联+,2796.179443359375,100.0,指数板块,指数,1,0,HHL+
144,000170,2.0,50AH优选,5653.45751953125,100.0,指数板块,指数,1,0,50AHYX
145,000171,2.0,新兴成指,1424.1944580078125,100.0,指数板块,指数,1,0,XXCZ
146,000300,2.0,沪深300,4131.93115234375,100.0,指数板块,指数,1,0,HS300
147,000802,2.0,500沪市,5627.1611328125,100.0,指数板块,指数,1,0,500HS
148,000805,2.0,A股资源,3723.24853515625,100.0,指数板块,指数,1,0,AGZY
149,000808,2.0,医药生物,10902.666015625,100.0,指数板块,指数,1,0,YYSW
150,000814,2.0,细分医药,10548.791015625,100.0,指数板块,指数,1,0,XFYY
151,000819,2.0,有色金属,3865.119384765625,100.0,指数板块,指数,1,0,YSJS
152,000823,2.0,800有色,3924.970703125,100.0,指数板块,指数,1,0,800YS
153,000827,2.0,中证环保,1376.556884765625,100.0,指数板块,指数,1,0,ZZHB
154,000828,2.0,300高贝,3022.4892578125,100.0,指数板块,指数,1,0,300GB
155,000841,2.0,800医药,10523.560546875,100.0,指数板块,指数,1,0,800YY
156,000842,2.0,800等权,5488.13427734375,100.0,指数板块,指数,1,0,800DQ
157,000847,2.0,腾讯济安,2180.642822265625,100.0,指数板块,指数,1,0,TXJA
158,000849,2.0,300非银,11060.7353515625,100.0,指数板块,指数,1,0,300FY
159,000851,2.0,百发100,17773.931640625,100.0,指数板块,指数,1,0,BF100
160,000852,2.0,中证1000,5919.5869140625,100.0,指数板块,指数,1,0,ZZ1000
161,000853,2.0,CSSW丝路,1679.9200439453125,100.0,指数板块,指数,1,0,CSSWSL
162,000854,2.0,500原料,3838.1494140625,100.0,指数板块,指数,1,0,500YL
163,000855,2.0,央视500,1338.1622314453125,100.0,指数板块,指数,1,0,YS500
164,000856,2.0,500工业,4384.81689453125,100.0,指数板块,指数,1,0,500GY
165,000857,2.0,500医药,11808.48046875,100.0,指数板块,指数,1,0,500YY
166,000858,2.0,500信息,8726.1982421875,100.0,指数板块,指数,1,0,500XX
167,000860,2.0,结构调整,969.7418823242188,100.0,指数板块,指数,1,0,JGDZ
168,000863,2.0,CS精准医,3414.396728515625,100.0,指数板块,指数,1,0,CSJZY
169,000865,2.0,上海国企,1531.7550048828125,100.0,指数板块,指数,1,0,SHGQ
170,000867,2.0,港中小企,3119.431884765625,100.0,指数板块,指数,1,0,GZXQ
171,000869,2.0,HK银行,3149.955322265625,100.0,指数板块,指数,1,0,HKYX
172,000891,2.0,新兴综指,1314.53759765625,100.0,指数板块,指数,1,0,XXZZ
173,000901,2.0,小康指数,5102.25927734375,100.0,指数板块,指数,1,0,XKZS
174,000903,2.0,中证100,4284.4384765625,100.0,指数板块,指数,1,0,ZZ100
175,000904,2.0,中证200,4278.22802734375,100.0,指数板块,指数,1,0,ZZ200
176,000905,2.0,中证500,5575.5126953125,100.0,指数板块,指数,1,0,ZZ500
177,000906,2.0,中证800,4366.0546875,100.0,指数板块,指数,1,0,ZZ800
178,000913,2.0,300医药,11389.6904296875,100.0,指数板块,指数,1,0,300YY
179,000914,2.0,300金融,6788.421875,100.0,指数板块,指数,1,0,300JR
180,000918,2.0,300成长,5121.69921875,100.0,指数板块,指数,1,0,300CC
181,000928,2.0,中证能源,1739.5345458984375,100.0,指数板块,指数,1,0,ZZNY
182,000932,2.0,中证消费,16101.5576171875,100.0,指数板块,指数,1,0,ZZXF
183,000933,2.0,中证医药,10638.1923828125,100.0,指数板块,指数,1,0,ZZYY
184,000934,2.0,中证金融,6479.73388671875,100.0,指数板块,指数,1,0,ZZJR
185,000935,2.0,中证信息,5392.8994140625,100.0,指数板块,指数,1,0,ZZXX
186,000944,2.0,内地资源,2274.380859375,100.0,指数板块,指数,1,0,NDZY
187,000958,2.0,创业成长,1180.2672119140625,100.0,指数板块,指数,1,0,CYCC
188,000966,2.0,基本400,6190.8662109375,100.0,指数板块,指数,1,0,JB400
189,000971,2.0,等权90,3007.662841796875,100.0,指数板块,指数,1,0,DQ90
190,000974,2.0,800金融,6673.509765625,100.0,指数板块,指数,1,0,800JR
191,000982,2.0,500等权,6490.2802734375,100.0,指数板块,指数,1,0,500DQ
192,000984,2.0,300等权,4143.82080078125,100.0,指数板块,指数,1,0,300DQ
193,000986,2.0,全指能源,1556.1148681640625,100.0,指数板块,指数,1,0,QZNY
194,000987,2.0,全指材料,2807.15283203125,100.0,指数板块,指数,1,0,QZCL
195,000989,2.0,全指可选,4734.8486328125,100.0,指数板块,指数,1,0,QZKX
196,000990,2.0,全指消费,14128.02734375,100.0,指数板块,指数,1,0,QZXF
197,000991,2.0,全指医药,10670.662109375,100.0,指数板块,指数,1,0,QZYY
198,000992,2.0,全指金融,6136.44384765625,100.0,指数板块,指数,1,0,QZJR
199,000993,2.0,全指信息,6729.88330078125,100.0,指数板块,指数,1,0,QZXX
200,000998,2.0,中证TMT,2280.847900390625,100.0,指数板块,指数,1,0,ZZTMT
201,888880,2.0,新标准券,32768.5,100.0,指数板块,板块,1,0,XBZQ
202,880001,2.0,总市值,6141.33984375,100.0,指数板块,板块,1,0,ZSZ
203,880002,2.0,流通市值,4948.2900390625,100.0,指数板块,板块,1,0,LTSZ
204,880007,2.0,活筹市值,2475.260009765625,100.0,指数板块,板块,1,0,HCSZ
205,880003,2.0,平均股价,17.350000381469727,100.0,指数板块,板块,1,0,PJGJ
206,880004,2.0,成交均价,1096.0500001907349,100.0,指数板块,板块,1,0,CJJJ
207,880005,2.0,涨跌家数,1883.0,100.0,指数板块,板块,1,0,ZDJS
208,880006,2.0,停板家数,480.0,100.0,指数板块,板块,1,0,TBJS
209,880011,2.0,Ａ主总值,4289.60986328125,100.0,指数板块,板块,1,0,ZZZ
210,880012,2.0,Ａ主流通,3691.010009765625,100.0,指数板块,板块,1,0,ZLT
211,880017,2.0,Ａ主活筹,1678.3800048828125,100.0,指数板块,板块,1,0,ZHC
212,880013,2.0,Ａ主平均,1672.0299997329712,100.0,指数板块,板块,1,0,ZPJ
213,880014,2.0,Ａ主均价,792.0074996948242,100.0,指数板块,板块,1,0,ZJJ
214,880015,2.0,Ａ主涨跌,977.0,100.0,指数板块,板块,1,0,ZZD
215,880016,2.0,Ａ主停板,22.0,100.0,指数板块,板块,1,0,ZTB
216,880021,2.0,中小总值,1056.550048828125,100.0,指数板块,板块,1,0,ZXZZ
217,880022,2.0,中小流通,796.8800048828125,100.0,指数板块,板块,1,0,ZXLT
218,880027,2.0,中小活筹,465.4200134277344,100.0,指数板块,板块,1,0,ZXHC
219,880023,2.0,中小平均,1496.0074996948242,100.0,指数板块,板块,1,0,ZXPJ
220,880024,2.0,中小均价,1000.0249996185303,100.0,指数板块,板块,1,0,ZXJJ
